# Breakpoint analysis: intervals based on attB+21 positions
# attB positions: [265, 527, 785, 1035, 1285, 1535, 1797, 2059, 2317, 2567, 2817, 3067]
# Breakpoint positions (attB+21): [286, 548, 806, 1056, 1306, 1556, 1818, 2080, 2338, 2588, 2838, 3088]
Category	Interval	Reads	Percentage
Break0	<286	325	8.90
Break1	286-548	221	6.05
Break2	548-806	294	8.05
Break3	806-1056	566	15.50
Break4	1056-1306	403	11.04
Break5	1306-1556	309	8.46
Break6	1556-1818	140	3.83
Break7	1818-2080	164	4.49
Break8	2080-2338	205	5.61
Break9	2338-2588	366	10.02
Break10	2588-2838	257	7.04
Break11	2838-3088	249	6.82
Break12	>3088	153	4.19
