# Breakpoint analysis: intervals based on attB+21 positions
# attB positions: [265, 527, 785, 1035, 1285, 1535, 1797, 2059, 2317, 2567, 2817, 3067]
# Breakpoint positions (attB+21): [286, 548, 806, 1056, 1306, 1556, 1818, 2080, 2338, 2588, 2838, 3088]
Category	Interval	Reads	Percentage
Break0	<286	26	9.03
Break1	286-548	19	6.60
Break2	548-806	21	7.29
Break3	806-1056	42	14.58
Break4	1056-1306	30	10.42
Break5	1306-1556	21	7.29
Break6	1556-1818	16	5.56
Break7	1818-2080	18	6.25
Break8	2080-2338	12	4.17
Break9	2338-2588	30	10.42
Break10	2588-2838	19	6.60
Break11	2838-3088	27	9.38
Break12	>3088	7	2.43
